latitude,longitude,tas_anom,pays
-88.5,-43.5,2.044704,ATA
-88.5,-42.5,2.0426672,ATA
-88.5,-41.5,2.0459712,ATA
-88.5,-40.5,2.0445266,ATA
-88.5,-39.5,2.0449,ATA
-88.5,-38.5,2.0471172,ATA
-88.5,-37.5,2.0496144,ATA
-88.5,-36.5,2.0467358,ATA
-88.5,-35.5,2.0455363,ATA
-88.5,-34.5,2.045946,ATA
-88.5,-33.5,2.048557,ATA
-88.5,-32.5,2.0519047,ATA
-88.5,-31.5,2.051717,ATA
-88.5,-30.5,2.0507686,ATA
-88.5,-29.5,2.051267,ATA
-88.5,-28.5,2.0542047,ATA
-88.5,-27.5,2.0536625,ATA
-88.5,-26.5,2.0531235,ATA
-88.5,-25.5,2.0553415,ATA
-88.5,-24.5,2.0564873,ATA
-88.5,-23.5,2.0544937,ATA
-88.5,-22.5,2.0537152,ATA
-88.5,-21.5,2.0612717,ATA
-88.5,-20.5,2.0618637,ATA
-88.5,-19.5,2.0598316,ATA
-88.5,-18.5,2.0570796,ATA
-88.5,-17.5,2.055527,ATA
-88.5,-16.5,2.0575309,ATA
-88.5,-15.5,2.0600178,ATA
-88.5,-14.5,2.0604837,ATA
-88.5,-13.5,2.0584757,ATA
-88.5,-12.5,2.0648441,ATA
-88.5,-11.5,2.060646,ATA
-88.5,-10.5,2.0628877,ATA
-88.5,-9.5,2.0634968,ATA
-88.5,-8.5,2.0610392,ATA
-88.5,-7.5,2.061791,ATA
-88.5,-6.5,2.0594447,ATA
-88.5,-5.5,2.0594866,ATA
-88.5,-4.5,2.0600677,ATA
-88.5,-3.5,2.0612056,ATA
-88.5,-2.5,2.0611382,ATA
-88.5,-1.5,2.0641103,ATA
-88.5,-0.5,2.064534,ATA
-88.5,0.5,2.0639956,ATA
-88.5,1.5,2.065129,ATA
-88.5,2.5,2.0678995,ATA
-88.5,3.5,2.0671048,ATA
-88.5,4.5,2.0656352,ATA
-88.5,5.5,2.0652065,ATA
-88.5,6.5,2.0649383,ATA
-88.5,7.5,2.0681152,ATA
-88.5,8.5,2.0729694,ATA
-88.5,9.5,2.0700927,ATA
-88.5,10.5,2.0691862,ATA
-88.5,11.5,2.0697613,ATA
-88.5,12.5,2.0689213,ATA
-88.5,13.5,2.0682683,ATA
-88.5,14.5,2.0682836,ATA
-88.5,15.5,2.0681028,ATA
-88.5,16.5,2.0705469,ATA
-88.5,17.5,2.078207,ATA
-88.5,18.5,2.071287,ATA
-88.5,19.5,2.068464,ATA
-88.5,20.5,2.068652,ATA
-88.5,21.5,2.0689526,ATA
-88.5,22.5,2.0663,ATA
-88.5,23.5,2.064546,ATA
-88.5,24.5,2.0655842,ATA
-88.5,25.5,2.0644486,ATA
